Device/Package xc7z010clg400 9/18/2012 09:50:56                                                                                                           
                                                                                                                
Pin  Pin Name                 Memory Byte Group  Bank               VCCAUX Group  Super Logic Region  I/O Type  No-Connect
R11  DONE_0                   NA                 0                  NA            NA                  CONFIG    NA
M9   DXP_0                    NA                 0                  NA            NA                  CONFIG    NA
J10  GNDADC_0                 NA                 0                  NA            NA                  CONFIG    NA
J9   VCCADC_0                 NA                 0                  NA            NA                  CONFIG    NA
L9   VREFP_0                  NA                 0                  NA            NA                  CONFIG    NA
L10  VN_0                     NA                 0                  NA            NA                  CONFIG    NA
F11  VCCBATT_0                NA                 0                  NA            NA                  CONFIG    NA
F9   TCK_0                    NA                 0                  NA            NA                  CONFIG    NA
M10  DXN_0                    NA                 0                  NA            NA                  CONFIG    NA
K10  VREFN_0                  NA                 0                  NA            NA                  CONFIG    NA
K9   VP_0                     NA                 0                  NA            NA                  CONFIG    NA
F10  RSVDGND                  NA                 0                  NA            NA                  CONFIG    NA
N6   RSVDVCC3                 NA                 0                  NA            NA                  CONFIG    NA
R6   RSVDVCC2                 NA                 0                  NA            NA                  CONFIG    NA
R10  INIT_B_0                 NA                 0                  NA            NA                  CONFIG    NA
G6   TDI_0                    NA                 0                  NA            NA                  CONFIG    NA
F6   TDO_0                    NA                 0                  NA            NA                  CONFIG    NA
T6   RSVDVCC1                 NA                 0                  NA            NA                  CONFIG    NA
M6   CFGBVS_0                 NA                 0                  NA            NA                  CONFIG    NA
L6   PROGRAM_B_0              NA                 0                  NA            NA                  CONFIG    NA
J6   TMS_0                    NA                 0                  NA            NA                  CONFIG    NA
V5   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
U7   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
V7   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
T9   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
U10  NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y7   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y6   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y9   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y8   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
V8   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
W8   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
W10  NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
W9   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
U9   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
U8   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
W11  NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y11  NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
T5   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
U5   NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
Y12  NC                       NA                 NOPAD/UNCONNECTED  NA            NA                  NA        NA
